Ranks
4339
3726
4856
3766
2360
4709
586
4601
4379
1943
4624
3709
3095
1654
346
2201
2153
593
4110
2127
3386
351
3823
4029
3193
1473
878
3828
68
1031
4886
226
2248
542
1165
3638
1476
2416
1549
79
1205
4338
1566
1105
918
4730
1511
904
3397
2075
2277
2872
2681
1343
890
1337
3350
28
4232
1991
2602
372
3351
1611
2382
4026
3187
2131
572
2193
4851
4158
1378
2377
4681
492
1930
3695
409
2703
3663
694
4543
4162
88
156
2326
3820
2100
2474
4788
2151
3618
1806
528
1923
1760
1733
3904
1565
4221
2233
3863
189
2065
4015
2677
3379
2435
887
3765
2144
906
1039
3595
3294
1042
4547
2930
3762
4590
768
1972
2261
2713
2705
2483
1726
4038
1738
3045
3018
4419
4475
1364
3099
4102
2278
682
3843
4121
3564
2616
3773
1401
1796
2426
965
3949
2659
1376
3138
802
4321
604
713
2736
1014
1207
1582
1887
4415
465
4813
101
3866
3010
2545
4573
2910
2691
1731
3769
2839
2051
3471
4694
149
3788
193
2849
3973
4201
3027
1144
1462
978
4949
1106
3360
1942
980
1395
3287
3733
2047
3918
152
3779
450
3144
4627
2423
458
1824
4229
4621
1274
2168
1381
2875
4839
4771
4881
1559
2586
3996
276
4972
1258
1110
4150
2369
4880
1691
1685
1310
3298
1047
4844
2770
1351
786
2951
4916
574
4210
1246
3296
1868
1631
2561
2822
1410
2695
2173
4200
2293
1370
2098
3686
4043
3837
3741
3137
24
3735
1959
4452
2598
1978
900
2793
3453
1683
760
4325
1512
4220
439
4994
83
998
2305
3815
1354
4456
34
1084
1574
373
816
981
2273
2102
2845
2871
1596
3174
3153
397
1701
196
3588
4203
3268
1483
2628
2501
4924
199
3838
4544
3486
4032
575
2642
935
2921
3019
3125
1956
1697
4779
4914
2441
3472
4629
2093
4526
1302
1711
4853
870
4466
1653
2919
3306
549
3857
2556
4970
3727
1782
1768
1157
120
861
590
3483
1517
1814
3101
4913
1422
2899
1460
4965
2511
3395
2280
1920
4682
4987
2487
797
987
4558
4697
746
4545
4156
2959
2715
4501
1730
1319
3523
1762
4659
3810
3938
1758
3841
2130
1074
4175
3462
2165
2876
3059
1189
1803
3524
4742
97
3133
4090
1982
4132
3081
2107
3948
3783
3164
284
4500
4663
1402
1392
4842
354
1487
384
653
158
2074
2385
2343
704
4748
3425
4878
3064
1881
4689
3439
1058
3529
3596
214
3198
3908
1669
3017
2414
909
3594
2656
2914
1976
3803
3898
2204
2013
4096
1485
3132
1911
1583
4546
251
2495
3208
3248
1316
995
2953
3853
1786
2594
556
4803
1992
1660
4876
2057
4231
2956
2499
4764
599
4773
1552
288
3077
2162
2196
3259
1616
3014
882
3832
1746
69
2965
1188
2592
807
3840
1908
647
880
2767
1795
4691
2139
1564
4740
568
4638
38
1475
1645
446
3109
2721
2004
4797
1619
