Length of List, Number Of Sorts, Variance
1400,1800,2312698.7518053837
1400,1850,1654013.0890010614
1400,1900,640380.5105859628
1400,1950,1115224.9175861806
1400,2000,1422924.6727952762
1400,2050,1330987.4942146917
1400,2100,1104209.061453768
1400,2150,1794584.124321649
1400,2200,1292244.1056257759
1400,2250,1226137.8544101438
1400,2300,1546165.7209139538
1400,2350,1712270.4565159585
1400,2400,970314.7107316531
1400,2450,1578413.6845817661
1400,2500,1720098.8341655328
1600,50,12607901.446817817
1600,100,7711938.764279058
1600,150,1063246.59694605
1600,200,5487928.210697721
1600,250,4935080.579703897
1600,300,2490575.0176953
1600,350,1964741.336944944
1600,400,451149.02848558594
1600,450,2644095.6647825674
1600,500,2318989.570732824
1600,550,1313571.178308499
1600,600,1101741.3052853246
1600,650,1025989.0043510803
1600,700,1747465.5124390407
1600,750,3163819.731830121
1600,800,2110190.476039622
1600,850,2309126.0700320583
1600,900,2245317.9941137447
1600,950,2102901.7299220897
1600,1000,938026.5443726028
1600,1050,1485199.1762737932
1600,1100,1476252.680997772
1600,1150,2888900.133172722
1600,1200,1171570.635229711
1600,1250,1431440.1073554317
1600,1300,1311603.264257463
1600,1350,1431391.9909373326
1600,1400,1440600.7854364237
1600,1450,1519121.0557606656
1600,1500,1024916.140691156
1600,1550,1633144.8961843872
1600,1600,825629.2774952732
1600,1650,1279997.4537893822
1600,1700,1478091.464647948
1600,1750,845667.41065101
1600,1800,1910682.8817272792
1600,1850,1231122.11999564
1600,1900,1408103.820954347
1600,1950,1240275.6463120466
1600,2000,1490530.0710818046
1600,2050,1315121.5222762846
1600,2100,1285851.5386508612
1600,2150,1587662.6072613138
1600,2200,1388599.5054580756
1600,2250,1231912.494085719
1600,2300,1565335.1452721178
1600,2350,1880717.7564012592
1600,2400,1272486.7528068714
1600,2450,1193950.5737627253
1600,2500,1129032.044290853
1800,50,2325854.249465991
1800,100,1747434.665058027
1800,150,1349534.0342647014
1800,200,7077813.732333704
1800,250,7657235.409768463
1800,300,2341035.3408836727
1800,350,5382102.716521496
1800,400,3592804.1056644833
1800,450,3441384.7283479786
1800,500,1929808.711481102
1800,550,1482728.7561106118
1800,600,3284910.937897741
1800,650,3025552.024501997
1800,700,5079708.599428209
1800,750,3658467.6471582707
1800,800,2052788.224196458
1800,850,2663472.4068909744
1800,900,3077504.2273945683
1800,950,3051643.476465202
1800,1000,4359182.23962594
1800,1050,2554043.27006021
1800,1100,3757052.817034982
1800,1150,4471203.478546456
1800,1200,3506663.983000711
1800,1250,3521205.2165764705
1800,1300,3113875.269190449
1800,1350,2453302.131258506
1800,1400,2397815.9818442594
1800,1450,3193434.057448077
1800,1500,2091461.7551815752
1800,1550,2749117.9400255186
1800,1600,1184970.043343408
1800,1650,2967666.403987171
1800,1700,2098465.707339448
1800,1750,1465018.1947113462
1800,1800,3533078.0210739966
1800,1850,2749633.971946799
1800,1900,3903606.1454618247
1800,1950,3112773.2100051516
1800,2000,2257473.6159643666
1800,2050,2035254.648779759
1800,2100,3238941.833425826
1800,2150,1983290.8919610279
1800,2200,2447725.045489827
1800,2250,2947778.142532712
1800,2300,2501978.5783983544
1800,2350,1279606.9812104972
1800,2400,1783440.1405993695
1800,2450,972043.1743019465
1800,2500,1609848.7681527524
2000,50,4099021.884795007
2000,100,7605848.6671856865
2000,150,6760075.577337334
2000,200,5439811.637975023
2000,250,3934265.3344827676
2000,300,810461.7721792957
2000,350,4340310.9798157355
2000,400,2230700.3818520317
2000,450,3088868.7525400673
2000,500,4448400.673925924
2000,550,5135723.420641202
2000,600,1768520.5709763633
2000,650,3573305.844972065
2000,700,4965018.870138725
2000,750,2640661.6585022393
2000,800,2607879.083006694
2000,850,3429130.5358950687
2000,900,3123942.4271065826
2000,950,4039482.3933264925
2000,1000,3357621.2707799664
2000,1050,1521899.81549598
2000,1100,2867231.896753976
2000,1150,5167031.291859267
2000,1200,4129734.7611593935
2000,1250,3781535.8493852043
2000,1300,4097143.7828338887
2000,1350,1941991.8890885531
2000,1400,3987922.2622077973
2000,1450,3987389.3788521024
2000,1500,3471622.6442787303
2000,1550,1510159.8175570313
2000,1600,2422326.0430632755
2000,1650,4455435.386095501
2000,1700,3473885.4828732847
2000,1750,1613884.262702662
2000,1800,2954236.411708741
2000,1850,3119415.8012950695
2000,1900,2830691.1910586865
2000,1950,1560163.3164384037
2000,2000,2693998.1064316314
2000,2050,1906757.2235115885
2000,2100,1827245.7468187455
2000,2150,2085724.3688294077
2000,2200,2694027.3309002947
2000,2250,2029821.0999091335
2000,2300,3057636.1300321324
2000,2350,2273950.62438934
2000,2400,2156739.2460051957
2000,2450,2775765.792516824
2000,2500,2084223.0857336
2200,50,3266464.053342375
2200,100,10007746.844117679
2200,150,9947954.012557346
2200,200,15000562.914073093
2200,250,3712635.9643795514
2200,300,1117009.4829771346
2200,350,3738948.423463555
2200,400,6030610.1807256015
2200,450,2494189.8001348455
2200,500,3429563.817632004
2200,550,5539933.889513828
2200,600,6199265.0932901595
2200,650,11022741.635340841
2200,700,6732913.301820415
2200,750,2727078.888479707
2200,800,2276249.0654543033
2200,850,3735521.8284672773
2200,900,5364919.89710413
2200,950,4987537.103992125
2200,1000,4904059.229513275
2200,1050,3900077.8889020937
2200,1100,2972641.5952885905
2200,1150,3417319.2601105548
2200,1200,4199003.600241098
2200,1250,3622788.0821521957
2200,1300,3869821.2943384633
2200,1350,3763835.914568558
2200,1400,3142212.768982955
2200,1450,2764483.6969363354
2200,1500,5301286.355184646
2200,1550,3889402.02062789
2200,1600,2542961.8760283026
2200,1650,3597459.2900617225
2200,1700,3491320.925485956
2200,1750,3041730.559039494
2200,1800,3108639.2289730967
2200,1850,3002281.835599249
2200,1900,3092140.1396740084
2200,1950,4812693.885557635
2200,2000,2784252.048603124
2200,2050,3795475.5919535086
2200,2100,3782423.5023546494
2200,2150,3667634.8310497333
2200,2200,2852209.325255826
2200,2250,2471216.574914216
2200,2300,2850484.9186332207
2200,2350,2900219.4073626376
2200,2400,2626463.0732811596
2200,2450,1409178.3954614606
2200,2500,2977468.712629795
2400,50,4204145.909406589
2400,100,16536338.608883046
2400,150,7223526.680142839
2400,200,2086424.7803567874
2400,250,6895390.513699979
2400,300,9249961.553519472
2400,350,4965485.42581851
2400,400,9165673.013844602
2400,450,10234239.73076757
2400,500,2501907.264084233
2400,550,4030001.748760543
2400,600,5355277.454507213
2400,650,5947708.2365503535
2400,700,5003659.992373785
2400,750,2564590.079109554
2400,800,7249253.873816851
2400,850,6802115.139533972
2400,900,4369651.780699733
2400,950,6042173.985873724
2400,1000,3658828.552848848
2400,1050,3212274.8404332795
2400,1100,7572245.689606323
2400,1150,3746461.6883543762
