Length of List, Number Of Sorts, Variance
800,100,15331829461.314629
800,150,12624745994.896774
800,200,24839662997.723423
800,250,144454284332.07983
800,300,50363788183.792564
800,350,48351462461.398476
800,400,76417894419.00603
800,450,71262867815.27228
800,500,101177008672.81924
800,550,208114249837.50983
800,600,118096027466.29224
800,650,138233040718.10413
800,700,128598933447.16898
800,750,750007853144.0885
800,800,251672612316.9792
800,850,281586781436.71277
800,900,182561081898.60764
800,950,831485120423.2874
800,1000,257119624050.7705
800,1050,456990843490.20416
800,1100,319358409042.3793
800,1150,295233039626.01355
800,1200,277082900782.28436
800,1250,391041977275.80273
800,1300,350824987070.6484
800,1350,842682339721.6359
800,1400,431561671781.77747
800,1450,525573603405.12213
800,1500,526961900116.2392
800,1550,437965629169.22626
800,1600,686945658958.2043
800,1650,1645284642089.6052
800,1700,320409559616.94037
800,1750,529549319157.85425
800,1800,1396154161098.149
800,1850,2155330075948.5952
800,1900,667037698561.9263
800,1950,556679076255.6858
800,2000,615021360305.1112
800,2050,1598645222221.4116
800,2100,773800366483.5736
800,2150,1534589721703.927
800,2200,840414593760.2092
800,2250,1283614897749.434
800,2300,1409382714974.738
800,2350,1368057251530.3376
800,2400,797649284966.1228
800,2450,1011474862907.3052
800,2500,788891373985.948
1000,50,3816725865.961871
1000,100,10808501844.34384
1000,150,32431822310.3655
1000,200,22788565055.765354
1000,250,53143491645.648796
1000,300,32268611029.778976
1000,350,43168921542.31655
1000,400,141913793178.3264
1000,450,82186821570.68303
1000,500,82775529647.34035
1000,550,170210185485.19104
1000,600,131149900013.81462
1000,650,126967276951.98479
1000,700,261338671521.5897
1000,750,126368232139.81055
1000,800,297871889210.2026
1000,850,282247181134.9035
1000,900,216335165833.3419
1000,950,261933882897.3153
1000,1000,702577875404.753
1000,1050,315766188905.59265
1000,1100,499097435084.9826
1000,1150,514351359683.6389
1000,1200,589170035531.23
1000,1250,403203787254.3359
1000,1300,430534513075.9424
1000,1350,597869730739.721
1000,1400,509700256001.0944
1000,1450,938542410742.6696
1000,1500,637262549744.8555
1000,1550,956635963732.6696
1000,1600,945817415679.878
