Time to sort
12080
12191
12268
12384
12387
12394
12405
12412
12444
12444
12478
12479
12491
12499
12500
12502
12507
12541
12582
12583
12585
12588
12626
12626
12626
12632
12640
12643
12647
12669
12676
12686
12700
12716
12730
12736
12753
12755
12759
12766
12777
12784
12794
12797
12803
12818
12822
12829
12833
12835
12836
12846
12848
12922
12930
12936
12936
12943
12943
12974
12974
13005
13025
13036
13071
13094
13098
13101
13138
13229
13257
13386
13415
13454
13477
13544
13568
13572
13611
13869
13912
14059
14111
14203
14371
14390
14441
14546
14595
14613
14651
14944
14950
14989
14994
15140
15204
15457
30995
38586
